,Name,Location,Single Room,Twin Sharing,Triple Sharing,Four Sharing,Has AC,Nearest Metro,Metro Distance,Type
205,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
206,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
207,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
208,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
209,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
210,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
211,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
212,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
213,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
214,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
215,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
216,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
217,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
218,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
219,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
220,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
221,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
222,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
223,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
224,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
225,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
226,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
227,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
228,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
229,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
230,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
231,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
232,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
233,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
234,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
235,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
236,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
237,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
238,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
239,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
240,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
241,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
242,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
243,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
244,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
245,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
246,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
247,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
248,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
249,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
250,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
251,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
252,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
253,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
254,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
255,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
256,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
257,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
258,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
259,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
260,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
261,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
262,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
263,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
264,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
265,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
266,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
267,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
268,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
269,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
270,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
271,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
272,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
273,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
274,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
275,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
276,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
277,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
278,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
279,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
280,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
281,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
282,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
283,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
284,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
285,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
286,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
287,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
288,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
289,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
290,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
291,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
292,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
293,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
294,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
295,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
296,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
297,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
298,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
299,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
300,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
301,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
302,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
303,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
304,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
305,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
306,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
307,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
308,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
309,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
310,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
311,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
312,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
313,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
314,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
315,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
316,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
317,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
318,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
319,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
320,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
321,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
322,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
323,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
324,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
325,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
326,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
327,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
328,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
329,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
330,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
331,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
332,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
333,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
334,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
335,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
336,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
337,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
338,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
339,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
340,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
341,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
342,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
343,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
344,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
345,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
346,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
347,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
348,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
349,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
350,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
351,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
352,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
353,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
354,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
355,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
356,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
357,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
358,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
359,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
360,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
361,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
362,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
363,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
364,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
365,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
366,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
367,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
368,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
369,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
370,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
371,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
372,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
373,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
374,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
375,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
376,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
377,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
378,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
379,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
380,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
381,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
382,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
383,Le bestow coliving - Bhuvan PG/Paying Guest,Kondapur,20000,15000,12000,Not Available,Yes,Hitech Metro Station,3.3,Coed
384,Orion Co-Living PG/Paying Guest,Madhapur,27000,14000,Not Available,Not Available,Yes,Hitech Metro Station,0.2,Coed
385,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,Gachibowli,20000,12500,8500,8000,Yes,Raidurg Metro Station,4,Coed
386,Sri kanaka Durga men's PG/Paying Guest,Madhapur,17000,11000,9000,7000,No,Madhapur Metro Station,0,Boys
387,My Spaces Luxury Men's PG/Paying Guest,Kondapur,22000,12000,9500,Not Available,No,Miyapur Metro Station,2.6,Boys
388,Estay Executive Men's PG/Paying Guest,Hitech City,22000,11500,8500,7500,Yes,Hitech City Metro Station,0.4,Boys
389,R3 ATMOS LIVE THE SWAG PG/Paying Guest,Hitex Road,28000,15000,11000,Not Available,Yes,Hitech Metro Station,1.7,Coed
390,SVS Co living Stays PG/Paying Guest,Kondapur,18000,11000,9000,Not Available,Yes,Miyapur Metro Station,2.9,Coed
391,Sasya Elite Co-Living PG/Paying Guest,Gachibowli,22500,12500,Not Available,Not Available,Yes,Raidurg Metro Station,2.3,Coed
392,N GRAND MEN'S PG/Paying Guest,Kondapur,22000,12000,10000,Not Available,No,Raidurg Metro Station,3.3,Boys
393,Sugathi Hometel PG/Paying Guest For Women,Nanakaramguda,16000,9000,8500,7000,No,Raidurg Metro Station,4.8,Girls
394,MS Comforts Women's PG/Paying Guest,Gachibowli,18000,10000,9000,8000,No,Raidurg Metro Station,3,Girls
395,SKY LINE CO LIVING PG/Paying Guest,Gachibowli,30000,18000,Not Available,Not Available,Yes,Raidurg Metro Station,4,Coed
396,Manjula Luxury PG/Paying Guest For MEN'S,Gowlidoddy,18000,10000,8000,Not Available,No,Raidurg Metro Station,5.5,Boys
397,SVS Co living Stays PG/Paying Guest,Kondapur,20000,12000,10000,Not Available,Yes,Hitech Metro Station,3.3,Coed
398,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,Kondapur,26000,16000,12000,Not Available,Yes,Miyapur Metro Station,2.5,Coed
399,Unique Women's PG/Paying Guest,Gachibowli,24000,14000,10000,9000,No,Raidurg Metro Station,1.6,Girls
400,GOPI MEN'S PG/Paying Guest,Kondapur,20000,10000,8000,7000,No,Miyapur Metro Station,2.1,Boys
401,SRI RAMA CO-LIVING PG/Paying Guest,Kondapur,19000,11000,8000,Not Available,No,Miyapur Metro Station,2.5,Coed
402,ASHOK REDDY PG/Paying Guest FOR MEN,Kondapur,Not Available,9000,7499,6499,No,Miyapur Metro Station,2.7,Boys
403,SV VIHANG CO LIVING PG/Paying Guest,TNGOS Colony,16000,8000,7500,Not Available,No,Raidurg Metro Station,4.4,Coed
404,TECHIES ELITE CO-LIVING PG/Paying Guest,"Hafeezpet, NH 9",26000,15500,12500,9500,Yes,Miyapur Metro Station,2.4,Coed
405,Trinity Co-Living PG/Paying Guest,Madhapur,24000,14000,11000,Not Available,No,Hitech Metro Station,1,Coed
406,Eswar Grand Man's and Women's PG/Paying Guest,Anjaiah Nagar Gachibowli,17000,10000,8000,6500,No,Raidurg Metro Station,1.4,Coed
407,SRIKARA MENS PG/Paying Guest AND HOSTEL,Madhapur,15000,10500,8500,7500,No,Hitech City Metro Station,0.9,Boys
408,COZY EXECUTIVE WOMEN'S PG/Paying Guest,Gachibowli,18000,10000,8500,7500,Yes,Raidurg Metro Station,1.2,Girls
409,TechNest Coliving PG/Paying Guest,Hitech City,20000,14000,10000,Not Available,No,Raidurg Metro Station,0.6,Coed
410,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,Gachibowli,19000,10000,8000,7000,No,Raidurg Metro Station,1.6,Coed
